,Violon,Critère,Note,Condition,Sujet,Session
0,A,P,7.0,aveugle,Clara,3
1,A,F,8.0,aveugle,Clara,3
2,A,T,6.0,aveugle,Clara,3
3,B,P,5.0,aveugle,Clara,3
4,B,F,6.0,aveugle,Clara,3
5,B,T,6.0,aveugle,Clara,3
6,C,P,6.0,aveugle,Clara,3
7,C,F,8.0,aveugle,Clara,3
8,C,T,8.0,aveugle,Clara,3
9,A,P,9.0,non-aveugle,Clara,3
10,A,F,8.0,non-aveugle,Clara,3
11,A,T,5.0,non-aveugle,Clara,3
12,C,P,7.0,non-aveugle,Clara,3
13,C,F,8.0,non-aveugle,Clara,3
14,C,T,8.0,non-aveugle,Clara,3
15,A,P,9.0,aveugle,SMD,3
16,A,F,9.0,aveugle,SMD,3
17,A,T,7.0,aveugle,SMD,3
18,B,P,7.0,aveugle,SMD,3
19,B,F,7.0,aveugle,SMD,3
20,B,T,6.0,aveugle,SMD,3
21,C,P,8.0,aveugle,SMD,3
22,C,F,8.0,aveugle,SMD,3
23,C,T,9.0,aveugle,SMD,3
24,A,P,,non-aveugle,SMD,3
25,A,F,,non-aveugle,SMD,3
26,A,T,,non-aveugle,SMD,3
27,C,P,,non-aveugle,SMD,3
28,C,F,,non-aveugle,SMD,3
29,C,T,,non-aveugle,SMD,3
30,A,P,5.0,aveugle,Félix,3
31,A,F,7.0,aveugle,Félix,3
32,A,T,6.0,aveugle,Félix,3
33,B,P,3.0,aveugle,Félix,3
34,B,F,7.0,aveugle,Félix,3
35,B,T,6.0,aveugle,Félix,3
36,C,P,7.0,aveugle,Félix,3
37,C,F,8.0,aveugle,Félix,3
38,C,T,8.0,aveugle,Félix,3
39,A,P,9.0,non-aveugle,Félix,3
40,A,F,8.0,non-aveugle,Félix,3
41,A,T,8.0,non-aveugle,Félix,3
42,C,P,8.0,non-aveugle,Félix,3
43,C,F,10.0,non-aveugle,Félix,3
44,C,T,9.0,non-aveugle,Félix,3
45,A,P,8.5,aveugle,Norimi,3
46,A,F,8.5,aveugle,Norimi,3
47,A,T,5.0,aveugle,Norimi,3
48,B,P,8.5,aveugle,Norimi,3
49,B,F,9.5,aveugle,Norimi,3
50,B,T,7.8,aveugle,Norimi,3
51,C,P,8.0,aveugle,Norimi,3
52,C,F,7.4,aveugle,Norimi,3
53,C,T,9.0,aveugle,Norimi,3
54,A,P,8.0,non-aveugle,Norimi,3
55,A,F,8.5,non-aveugle,Norimi,3
56,A,T,4.5,non-aveugle,Norimi,3
57,C,P,9.0,non-aveugle,Norimi,3
58,C,F,6.0,non-aveugle,Norimi,3
59,C,T,8.0,non-aveugle,Norimi,3
60,A,P,9.0,aveugle,Paul,3
61,A,F,8.0,aveugle,Paul,3
62,A,T,6.5,aveugle,Paul,3
63,B,P,8.0,aveugle,Paul,3
64,B,F,7.0,aveugle,Paul,3
65,B,T,8.5,aveugle,Paul,3
66,C,P,7.5,aveugle,Paul,3
67,C,F,8.5,aveugle,Paul,3
68,C,T,7.5,aveugle,Paul,3
69,A,P,8.5,non-aveugle,Paul,3
70,A,F,8.0,non-aveugle,Paul,3
71,A,T,6.5,non-aveugle,Paul,3
72,C,P,8.0,non-aveugle,Paul,3
73,C,F,8.0,non-aveugle,Paul,3
74,C,T,8.5,non-aveugle,Paul,3
75,A,P,8.5,aveugle,Renato,3
76,A,F,8.5,aveugle,Renato,3
77,A,T,8.5,aveugle,Renato,3
78,B,P,9.0,aveugle,Renato,3
79,B,F,9.0,aveugle,Renato,3
80,B,T,8.5,aveugle,Renato,3
81,C,P,8.25,aveugle,Renato,3
82,C,F,8.5,aveugle,Renato,3
83,C,T,8.5,aveugle,Renato,3
84,A,P,7.0,non-aveugle,Renato,3
85,A,F,6.5,non-aveugle,Renato,3
86,A,T,7.0,non-aveugle,Renato,3
87,C,P,7.5,non-aveugle,Renato,3
88,C,F,7.5,non-aveugle,Renato,3
89,C,T,7.5,non-aveugle,Renato,3
90,A,P,7.5,aveugle,Areski,3
91,A,F,8.5,aveugle,Areski,3
92,A,T,7.0,aveugle,Areski,3
93,B,P,8.5,aveugle,Areski,3
94,B,F,9.0,aveugle,Areski,3
95,B,T,8.25,aveugle,Areski,3
96,C,P,8.0,aveugle,Areski,3
97,C,F,8.5,aveugle,Areski,3
98,C,T,8.0,aveugle,Areski,3
99,A,P,7.0,non-aveugle,Areski,3
100,A,F,8.5,non-aveugle,Areski,3
101,A,T,6.0,non-aveugle,Areski,3
102,C,P,8.0,non-aveugle,Areski,3
103,C,F,8.5,non-aveugle,Areski,3
104,C,T,7.5,non-aveugle,Areski,3
